customer_state,pedidos,taxa_atraso
AL,397,0.23929471032745592
MA,717,0.19665271966527198
PI,476,0.15966386554621848
CE,1279,0.1532447224394058
SE,335,0.15223880597014924
BA,3256,0.14035626535626536
RJ,12353,0.13470412045656927
TO,274,0.12773722627737227
PA,946,0.12367864693446089
ES,1995,0.12230576441102757
MS,701,0.11554921540656206
PB,517,0.1102514506769826
PE,1593,0.10797237915881984
RN,474,0.10759493670886076
SC,3547,0.09754722300535663
GO,1957,0.08175779253960143
RS,5344,0.07148203592814371
DF,2080,0.07067307692307692
MT,886,0.06772009029345373
SP,40495,0.05894554883318928
MG,11355,0.056186701893439016
PR,4923,0.049969530773918344
AM,145,0.041379310344827586
RO,243,0.02880658436213992
